title,city,location,price,area,construction_status,bathrooms,age
3 BHK Villa,Trivandrum,Karyavattom, 90 L,1500 ,Under ConstructionConstruction Status,3 Bathrooms,
3 BHK Villa,Ernakulam,Eloor, 76 L,1464 ,Ready to moveConstruction Status,3 Bathrooms,4 - 5 years old
3 BHK Villa,Thrissur,Pullazhi, 68 L,1800 ,Under ConstructionConstruction Status,4 Bathrooms,
4 BHK Independent House,Thrissur,Cheroor, 1.25 Cr,2500 ,Ready to moveConstruction Status,5 Bathrooms,
5 BHK Villa,Pathanamthitta,Thiruvalla, 1.15 Cr,3200 ,Ready to moveConstruction Status,5 Bathrooms,6 - 7 years old
2 BHK Apartment in Green Vistas Prakrriti,Kochi,Kakkanad, 52 L,1517 ,Ready to moveConstruction Status,2 Bathrooms,1 - 2 years old
3 BHK Apartment in SFS Silicon Park,Kochi,Kakkanad, 69.99 L,1406 ,Ready to moveConstruction Status,2 Bathrooms,10 - 11 years old
3 BHK Villa in PNR Silver Spring,Trivandrum,Kazhakkoottam, 85 L,1605 ,Ready to moveConstruction Status,3 Bathrooms,0 - 1 year old
2 BHK Independent House,Kochi,Cheranalloor, 70 L,900 ,Ready to moveConstruction Status,2 Bathrooms,4 - 5 years old
3 BHK Apartment,Kochi,Kakkanad, 48 L,1394 ,Ready to moveConstruction Status,3 Bathrooms,
2 BHK Apartment,Kochi,vyttila, 33 L,850 ,Ready to moveConstruction Status,2 Bathrooms,5 - 6 years old
2 BHK Apartment,Thrissur,Cheroor, 39.99 L,1120 ,Ready to moveConstruction Status,2 Bathrooms,
2 BHK Apartment,Kochi,Edappally, 46 L,1002 ,Ready to moveConstruction Status,2 Bathrooms,
3 BHK Apartment,Kochi,Periyar Nagar, 57.5 L,1350 ,Ready to moveConstruction Status,3 Bathrooms,4 years old
4 BHK Villa,Kochi,Kuzhivelippady, 62 L,1800 ,Ready to moveConstruction Status,3 Bathrooms,5 - 6 years old
5 BHK Independent House,Kozhikode,Chathamangalam Grama Panchayath, 1.7 Cr,4200 ,Ready to moveConstruction Status,6 Bathrooms,2 years old
3 BHK Villa,Kochi,Maradu, 74.5 L,1310 ,Ready to moveConstruction Status,4 Bathrooms,
5 BHK Villa,Kozhikode,Government Medical College Campus, 1.5 Cr,3000 ,Under ConstructionConstruction Status,4 Bathrooms,
3 BHK Apartment,Kochi,Palarivattom, 60 L,1282 ,Ready to moveConstruction Status,3 Bathrooms,
3 BHK Villa,Kochi,Kakkanad, 70 L,1750 ,Ready to moveConstruction Status,3 Bathrooms,
3 BHK Villa,Trivandrum,Karyavattom, 90 L,1500 ,Under ConstructionConstruction Status,3 Bathrooms,
3 BHK Villa,Ernakulam,Eloor, 76 L,1464 ,Ready to moveConstruction Status,3 Bathrooms,4 - 5 years old
3 BHK Villa,Thrissur,Pullazhi, 68 L,1800 ,Under ConstructionConstruction Status,4 Bathrooms,
4 BHK Independent House,Thrissur,Cheroor, 1.25 Cr,2500 ,Ready to moveConstruction Status,5 Bathrooms,
5 BHK Villa,Pathanamthitta,Thiruvalla, 1.15 Cr,3200 ,Ready to moveConstruction Status,5 Bathrooms,6 - 7 years old
2 BHK Apartment in Green Vistas Prakrriti,Kochi,Kakkanad, 52 L,1517 ,Ready to moveConstruction Status,2 Bathrooms,1 - 2 years old
3 BHK Apartment in SFS Silicon Park,Kochi,Kakkanad, 69.99 L,1406 ,Ready to moveConstruction Status,2 Bathrooms,10 - 11 years old
